Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
84,Cory Schneider\schneco01,31,NJD,40,40,17,16,6,114,1228,1114,.907,2.93,1,6.2,2332,19,.475,7,106,-6.22,0,0,0,0
85,Mike Smith\smithmi01,35,CGY,55,55,25,22,6,141,1686,1545,.916,2.65,3,10.2,3191,32,.582,9,95,6.98,0,2,2,8
86,Alex Stalock\staloal01,30,MIN,28,23,10,10,4,71,787,716,.910,2.85,1,4.2,1495,13,.565,3,103,-1.93,0,0,0,0
87,Malcolm Subban\subbama01,24,VEG,22,19,13,4,2,55,614,559,.910,2.68,0,3.3,1230,8,.421,2,102,-1.11,0,0,0,2
88,Cam Talbot\talboca01,30,EDM,67,67,31,31,3,188,2036,1848,.908,3.02,1,10.3,3730,32,.478,11,105,-9.30,0,1,1,8
89,Daniel Taylor\tayloda02,31,OTT,1,1,0,1,0,4,34,30,.882,4.10,0,0.1,58,0,.000,0,,,0,0,0,0
90,Linus Ullmark\ullmali01,24,BUF,5,3,1,2,0,8,123,115,.935,2.00,0,1.0,240,2,.667,0,,,0,0,0,0
91,Semyon Varlamov\varlasi01,29,COL,51,47,24,16,6,128,1595,1467,.920,2.68,2,10.2,2861,28,.596,5,91,11.99,0,0,0,2
92,Andrei Vasilevskiy\vasilan02,23,TBL,65,64,44,17,3,167,2075,1908,.920,2.62,8,13.2,3825,36,.563,8,92,15.12,0,2,2,14
93,Cam Ward\wardca01,33,CAR,43,42,23,14,4,112,1187,1075,.906,2.73,2,5.8,2459,21,.500,10,108,-7.82,0,0,0,14
94,Scott Wedgewood\wedgesc01,25,ARI,20,17,5,9,4,63,587,524,.893,3.45,1,2.0,1097,7,.412,4,122,-11.48,0,0,0,2
95,Adam Wilcox\wilcoad01,25,BUF,1,0,0,1,0,0,14,14,1.000,0.00,0,0.2,39,0,,0,,,0,0,0,0
