# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20150101-20171231
# ----------------------------------------

Day Index,Sessions,Users
11/11/15,82,70
11/12/15,73,63
11/13/15,74,62
11/14/15,55,47
11/15/15,51,45
11/16/15,103,88
11/17/15,147,133
11/18/15,130,117
11/19/15,84,77
11/20/15,86,69
11/21/15,59,57
11/22/15,65,53
11/23/15,105,95
11/24/15,140,125
11/25/15,70,60
11/26/15,96,90
11/27/15,103,95
11/28/15,65,59
11/29/15,79,69
11/30/15,140,125
12/1/15,77,70
12/2/15,76,67
12/3/15,68,58
12/4/15,72,62
12/5/15,66,55
12/6/15,57,52
12/7/15,75,69
12/8/15,91,76
12/9/15,68,64
12/10/15,60,55
12/11/15,56,49
12/12/15,45,41
12/13/15,39,35
12/14/15,62,52
12/15/15,66,61
12/16/15,63,58
12/17/15,70,61
12/18/15,45,37
12/19/15,36,33
12/20/15,20,18
12/21/15,46,45
12/22/15,55,52
12/23/15,37,32
12/24/15,50,49
12/25/15,43,41
12/26/15,60,57
12/27/15,46,46
12/28/15,98,94
12/29/15,77,75
12/30/15,39,38
12/31/15,29,26
1/1/16,29,29
1/2/16,36,36
1/3/16,32,30
1/4/16,45,42
1/5/16,68,64
1/6/16,64,57
1/7/16,81,76
1/8/16,56,50
1/9/16,39,33
1/10/16,39,37
1/11/16,155,149
1/12/16,91,89
1/13/16,78,75
1/14/16,72,66
1/15/16,82,73
1/16/16,51,50
1/17/16,61,51
1/18/16,82,72
1/19/16,76,70
1/20/16,105,94
1/21/16,81,72
1/22/16,102,95
1/23/16,46,42
1/24/16,109,103
1/25/16,75,67
1/26/16,65,63
1/27/16,76,66
1/28/16,59,55
1/29/16,69,65
1/30/16,43,38
1/31/16,61,53
2/1/16,69,61
2/2/16,59,55
2/3/16,68,60
2/4/16,67,62
2/5/16,66,55
2/6/16,42,41
2/7/16,45,43
2/8/16,55,48
2/9/16,94,85
2/10/16,82,77
2/11/16,75,67
2/12/16,58,56
2/13/16,51,44
2/14/16,75,67
2/15/16,75,68
2/16/16,73,67
2/17/16,84,80
2/18/16,104,97
2/19/16,55,54
2/20/16,59,54
2/21/16,77,71
2/22/16,106,99
2/23/16,91,83
2/24/16,74,74
2/25/16,94,86
2/26/16,312,274
2/27/16,166,142
2/28/16,262,226
2/29/16,233,202
3/1/16,163,147
3/2/16,168,143
3/3/16,199,178
3/4/16,132,117
3/5/16,79,66
3/6/16,97,72
3/7/16,108,100
3/8/16,107,102
3/9/16,113,103
3/10/16,97,85
